date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:11	152796/152796	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2024%20Mar%202019%2019:34:04%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/fontawesome-webfont5b62.ttf	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:48:11	251/251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20May%202019%2016:48:11%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/simple-line-icons.svg?thkwh4	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/simple-line-iconsc05f.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:48:11	46532/46532	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2024%20Mar%202019%2019:34:08%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/simple-line-icons.ttf?thkwh4	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/simple-line-iconsc05f.ttf	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:48:21	391622/391622	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:04%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/fontawesome-webfont.svg?v=4.6.3	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/fontawesome-webfont5b62.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:49:08	1177484/1177484	---M--	200	added ('OK')	application/x-font-woff	date:Sun,%2024%20Mar%202019%2019:34:07%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/iconsmind.woff?-rdmvgc	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/iconsmindca27.woff	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:49:08	1177572/1177572	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2024%20Mar%202019%2019:34:05%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/iconsmind.eot?-rdmvgc	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/iconsmindca27.eot	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:49:08	1177572/1177572	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2024%20Mar%202019%2019:34:05%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/iconsmind.eot?	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/iconsmindd41d.eot	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:49:08	1177408/1177408	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2024%20Mar%202019%2019:34:06%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/iconsmind.ttf?-rdmvgc	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/iconsmindca27.ttf	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:49:11	143258/143258	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2024%20Mar%202019%2019:34:10%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/material-icons/MaterialIcons-Regular.eot	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/material-icons/MaterialIcons-Regular.eot	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:49:14	57620/57620	---M--	200	added ('OK')	application/x-font-woff	date:Sun,%2024%20Mar%202019%2019:34:11%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/material-icons/MaterialIcons-Regular.woff	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/material-icons/MaterialIcons-Regular.woff	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:49:15	128180/128180	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2024%20Mar%202019%2019:34:10%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/material-icons/MaterialIcons-Regular.ttf	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/material-icons/MaterialIcons-Regular.ttf	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:49:15	44300/44300	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202019%2019:34:11%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/material-icons/MaterialIcons-Regular.woff2	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/material-icons/MaterialIcons-Regular.html	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:49:15	1968/1968	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:13%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/logos/bulkit-blue.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/logos/bulkit-blue.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/index.html)
